202001001,Akash Sharma,B.Tech ICT,7.5,2024,202001001@daiict.ac.in,9876543210
202001002,Priya Patel,B.Tech ICT,7.45,2024,202001002@daiict.ac.in,9876543211
202001003,Rajesh Singh,B.Tech ICT,7.68,2024,202001003@daiict.ac.in,9876543212
202001004,Deepika Mehra,B.Tech ICT,7.23,2024,202001004@daiict.ac.in,9876543213
202001005,Rahul Gupta,B.Tech ICT,7.1,2024,202001005@daiict.ac.in,9876543214
202001006,Aarav Malhotra,B.Tech ICT,7.12,2024,202001006@daiict.ac.in,9876543215
202001007,Ananya Reddy,B.Tech ICT,7.98,2024,202001007@daiict.ac.in,9876543216
202001008,Vikram Verma,B.Tech ICT,7.99,2024,202001008@daiict.ac.in,9876543217
202001009,Nisha Kapoor,B.Tech ICT,5.62,2024,202001009@daiict.ac.in,9876543218
202001010,Arjun Desai,B.Tech ICT,6.53,2024,202001010@daiict.ac.in,9876543219
202001011,Ishita Choudhury,B.Tech ICT,4.69,2024,202001011@daiict.ac.in,9876543220
202001012,Vikas Shah,B.Tech ICT,8.92,2024,202001012@daiict.ac.in,9876543221
202001013,Divya Joshi,B.Tech ICT,4.9,2024,202001013@daiict.ac.in,9876543222
202001014,Rakesh Khanna,B.Tech ICT,8.63,2024,202001014@daiict.ac.in,9876543223
202001015,Pooja Mehta,B.Tech ICT,3.96,2024,202001015@daiict.ac.in,9876543224
202001016,Sameer Saxena,B.Tech ICT,9.25,2024,202001016@daiict.ac.in,9876543225
202001017,Ayesha Khan,B.Tech ICT,7.12,2024,202001017@daiict.ac.in,9876543226
202001018,Siddharth Kumar,B.Tech ICT,7.23,2024,202001018@daiict.ac.in,9876543227
202001019,Sunita Das,B.Tech ICT,7.46,2024,202001019@daiict.ac.in,9876543228
202001020,Karan Chawla,B.Tech ICT,4.56,2024,202001020@daiict.ac.in,9876543229
2202001021,Swati Nair,B.Tech ICT,8.01,2024,202001021@daiict.ac.in,9876543230
202001022,Rohan Bhatia,B.Tech ICT,9.58,2024,202001022@daiict.ac.in,9876543231
202001023,Kavita Sharma,B.Tech ICT,3.89,2024,202001023@daiict.ac.in,9876543232
202001024,Vivek Singhania,B.Tech ICT,6.23,2024,202001024@daiict.ac.in,9876543233
