Student ID,Student Name,Batch,Year_of_Placement,Mobile No,Company Placed,Salary
201601001,Agastya Gupta,B.Tech ICT,2020,5987263014,Sprinklr Inc.,6
201601002,Riya Patel,B.Tech ICT,2020,8350492167,Microsoft Corp.,20
201601003,Advik Singh,B.Tech ICT,2020,1627839405,Linked In ,14
201601004,Aisha Sharma,B.Tech ICT,2020,7048152396,Atlassian Corp.,13
201601005,Arjun Kumar,B.Tech ICT,2020,4296571830,Amazon ,10
201601006,Nisha Desai,B.Tech ICT,2020,9614720835,Zomato Pvt. Ltd.,10
201601007,Virat Reddy,B.Tech ICT,2020,5302987461,Intel Corp.,9
201601008,Sanaya Joshi,B.Tech ICT,2020,3865049127,Lenovo Group ltd.,8
201601009,Kabir Shah,B.Tech ICT,2020,7406932851,Dell Tech. Inc.,7
201601010,Ishika Verma,B.Tech ICT,2020,2175893604,Oracle Inc.,11
201601011,Vardaan Jha,B.Tech ICT,2020,8753206941,Nexus Group,12
201601012,Pooja Mehta,B.Tech ICT,2020,9456081372,Fusion Tech.,9
201601013,Krish Sharma,B.Tech ICT,2020,2917643058,Google Corp.,24
201601014,Ananya Patel,B.Tech ICT,2020,5381976420,Infosys Ltd.,15
201601015,Aryan Khanna,B.Tech ICT,2020,4075829136,TCS Ltd.,14
201601016,Dia Choudhury,B.Tech ICT,2020,1827509643,Nexus Group,13
201601017,Rohan Sharma,B.Tech ICT,2020,6058391247,Lenovo Group ltd.,8
201601018,Kavya Singh,B.Tech ICT,2020,7398215046,Sprinklr Inc.,11
201601019,Vihaan Mehta,B.Tech ICT,2020,4982176530,Amazon ,16
201601020,Avni Kapoor,B.Tech ICT,2020,3209758641,Lenovo Group ltd.,17
201601021,Yuvraj Singh,B.Tech ICT,2020,9267381450,Microsoft Corp.,30
201601022,Tara Gupta,B.Tech ICT,2020,1657029348,Sprinklr Inc.,20
201601023,Vivaan Agarwal,B.Tech ICT,2020,7402583169,Nexus Group,19
201601024,Zara Malhotra,B.Tech ICT,2020,5894713026,Atlassian Corp.,17
201601025,Reyansh Das,B.Tech ICT,2020,3648075291,Dell Tech. Inc.,18
201601026,Saanvi Sharma,B.Tech ICT,2020,7518294630,Infosys Ltd.,27
201601027,Dev Patel,B.Tech ICT,2020,3987265041,Linked In ,29
201601028,Ishaan Thakur,B.Tech ICT,2020,5402936871,Google Corp.,35
201601029,Maya Singh,B.Tech ICT,2020,9263840751,Microsoft Corp.,45
201601030,Atharv Sharma,B.Tech ICT,2020,1837502946,TCS Ltd.,36
201601031,Ria Khurana,B.Tech ICT,2020,4672058319,Atlassian Corp.,28
201601031,Kabir Kapoor,B.Tech ICT,2020,5723014986,Zomato Pvt. Ltd.,18
201601032,Aaradhya Patel,B.Tech ICT,2020,3489172056,Oracle Inc.,22
201601033,Arnav Singh,B.Tech ICT,2020,6248913705,Linked In ,34
201601034,Sara Shah,B.Tech ICT,2020,9304172568,Fusion Tech.,16
201601035,Vihaan Sharma,B.Tech ICT,2020,2741960835,TCS Ltd.,33
201601036,Diya Chawla,B.Tech ICT,2020,6952438710,Infosys Ltd.,21
201601037,Veer Malhotra,B.Tech ICT,2020,1826097534,Microsoft Corp.,50
201601038,Ananya Singh,B.Tech ICT,2020,8305729146,Nexus Group,16
201601039,Aarush Gupta,B.Tech ICT,2020,4609352178,Atlassian Corp.,9
201801101,Kriti Shah,M.tech ICT,2020,5092837461,Dell Tech. Inc.,6
201801102,Krish Kapoor,M.tech ICT,2020,1369857204,Amazon ,23
201801103,Mahira Singh,M.tech ICT,2020,7849205631,Google Corp.,45
201801104,Advait Sharma,M.tech ICT,2020,3520974618,Oracle Inc.,30
201801105,Ishani Patel,M.tech ICT,2020,6978351240,TCS Ltd.,26
201801106,Reyansh Singh,M.tech ICT,2020,5402978163,Oracle Inc.,25
201801107,Naina Shah,M.tech ICT,2020,2187695304,Infosys Ltd.,22
201801108,Aryan Mehta,M.tech ICT,2020,6902431857,Zomato Pvt. Ltd.,15
201801109,Ishika Singh,M.tech ICT,2020,3162489075,Dell Tech. Inc.,14
201801110,Rudra Sharma,M.tech ICT,2020,5039168724,Sprinklr Inc.,13
